fecha,valor,completo_mediciones,completo_umbral
2020/09/09,0.60,100.0,100.0
2020/09/10,0.20,100.0,100.0
2020/09/11,0.00,100.0,100.0
2020/09/12,0.00,100.0,100.0
2020/09/13,4.20,100.0,100.0
2020/09/14,2.50,100.0,100.0
2020/09/15,2.30,99.7,100.0
2020/09/16,0.50,100.0,100.0
2020/09/17,0.30,100.0,100.0
2020/09/18,3.10,100.0,100.0
2020/09/19,3.00,100.0,100.0
2020/09/20,0.30,100.0,100.0
2020/09/21,0.10,100.0,100.0
2020/09/22,0.90,100.0,100.0
2020/09/23,4.30,100.0,100.0
2020/09/24,9.70,100.0,100.0
2020/09/25,9.10,100.0,100.0
2020/09/26,0.10,100.0,100.0
2020/09/27,9.70,100.0,100.0
2020/09/28,2.00,100.0,100.0
2020/09/29,4.70,100.0,100.0
2020/09/30,1.70,100.0,100.0
2020/10/01,0.00,100.0,100.0
2020/10/02,0.10,100.0,100.0
2020/10/03,2.10,100.0,100.0
2020/10/04,3.90,100.0,100.0
2020/10/05,0.40,100.0,100.0
2020/10/06,0.20,100.0,100.0
2020/10/07,7.60,100.0,100.0
2020/10/08,7.40,100.0,100.0
2020/10/09,1.40,100.0,100.0
2020/10/10,0.20,100.0,100.0
2020/10/11,1.20,100.0,100.0
2020/10/12,5.90,100.0,100.0
2020/10/13,1.10,100.0,100.0
2020/10/14,0.30,100.0,100.0
2020/10/15,0.30,100.0,100.0
2020/10/16,6.10,100.0,100.0
2020/10/17,1.10,100.0,100.0
2020/10/18,0.00,100.0,100.0
2020/10/19,0.00,100.0,100.0
2020/10/20,1.30,100.0,100.0
2020/10/21,2.30,100.0,100.0
2020/10/22,2.80,100.0,100.0
2020/10/23,0.00,100.0,100.0
2020/10/24,0.70,100.0,100.0
2020/10/25,0.00,100.0,100.0
2020/10/26,2.00,100.0,100.0
2020/10/27,0.10,100.0,100.0
2020/10/28,0.00,100.0,100.0
2020/10/29,0.50,100.0,100.0
2020/10/30,0.80,100.0,100.0
2020/10/31,0.00,100.0,100.0
2020/11/01,0.00,100.0,100.0
2020/11/02,0.00,100.0,100.0
2020/11/03,0.00,100.0,100.0
2020/11/04,0.00,100.0,100.0
2020/11/05,2.40,100.0,100.0
2020/11/06,0.10,100.0,100.0
2020/11/07,0.00,100.0,100.0
2020/11/08,0.00,100.0,100.0
2020/11/09,0.00,100.0,100.0
2020/11/10,0.90,100.0,100.0
2020/11/11,0.10,100.0,100.0
2020/11/12,13.60,100.0,100.0
2020/11/13,1.90,100.0,100.0
2020/11/14,16.00,100.0,100.0
2020/11/15,6.90,100.0,100.0
2020/11/16,0.20,100.0,100.0
2020/11/17,8.70,100.0,100.0
2020/11/18,0.00,100.0,100.0
2020/11/19,4.30,100.0,100.0
2020/11/20,23.50,100.0,100.0
2020/11/21,10.60,100.0,100.0
2020/11/22,3.30,100.0,100.0
2020/11/23,2.30,100.0,100.0
2020/11/24,0.60,100.0,100.0
2020/11/25,1.50,100.0,100.0
2020/11/26,5.40,100.0,100.0
2020/11/27,16.70,100.0,100.0
2020/11/28,4.40,100.0,100.0
2020/11/29,1.80,100.0,100.0
2020/11/30,0.40,100.0,100.0
2020/12/01,0.40,100.0,100.0
2020/12/02,11.60,100.0,100.0
2020/12/03,0.80,100.0,100.0
2020/12/04,1.10,100.0,100.0
2020/12/05,0.70,100.0,100.0
2020/12/06,1.70,100.0,100.0
2020/12/07,0.00,100.0,100.0
2020/12/08,0.00,100.0,100.0
2020/12/09,0.00,100.0,100.0
2020/12/10,0.80,100.0,100.0
2020/12/11,5.10,100.0,100.0
2020/12/12,10.20,100.0,100.0
2020/12/13,0.00,100.0,100.0
2020/12/14,0.00,100.0,100.0
2020/12/15,0.00,100.0,100.0
2020/12/16,0.00,100.0,100.0
2020/12/17,2.00,100.0,100.0
2020/12/18,2.80,100.0,100.0
2020/12/19,0.00,100.0,100.0
2020/12/20,0.80,100.0,100.0
2020/12/21,0.10,100.0,100.0
2020/12/22,0.20,100.0,100.0
2020/12/23,0.00,100.0,100.0
2020/12/24,0.00,100.0,100.0
2020/12/25,0.80,100.0,100.0
2020/12/26,2.30,100.0,100.0
2020/12/27,1.00,100.0,100.0
2020/12/28,1.40,100.0,100.0
2020/12/29,13.90,100.0,100.0
2020/12/30,0.30,99.0,95.8
2020/12/31,0.00,100.0,100.0
2021/01/01,0.50,100.0,100.0
2021/01/02,6.40,100.0,100.0
2021/01/03,1.70,100.0,100.0
2021/01/04,4.40,100.0,100.0
2021/01/05,0.60,100.0,100.0
2021/01/06,3.70,100.0,100.0
2021/01/07,0.10,91.3,91.7
2021/01/08,1.30,100.0,100.0
2021/01/09,0.70,100.0,100.0
2021/01/10,7.50,100.0,100.0
2021/01/11,5.00,100.0,100.0
2021/01/12,4.40,100.0,100.0
2021/01/13,3.00,100.0,100.0
2021/01/14,0.00,100.0,100.0
2021/01/15,0.00,100.0,100.0
2021/01/16,0.00,100.0,100.0
2021/01/17,0.00,100.0,100.0
2021/01/18,0.10,100.0,100.0
2021/01/19,0.00,100.0,100.0
2021/01/20,0.10,100.0,100.0
2021/01/21,0.30,100.0,100.0
2021/01/22,9.50,100.0,100.0
2021/01/23,5.60,100.0,100.0
2021/01/24,1.10,100.0,100.0
2021/01/25,0.50,100.0,100.0
2021/01/26,5.30,100.0,100.0
2021/01/27,1.30,100.0,100.0
2021/01/28,1.40,100.0,100.0
2021/01/29,0.10,100.0,100.0
2021/01/30,0.00,100.0,100.0
2021/01/31,0.00,100.0,100.0
2021/02/01,0.80,100.0,100.0
2021/02/02,0.60,100.0,100.0
2021/02/03,1.10,100.0,100.0
2021/02/04,2.70,100.0,100.0
2021/02/05,4.00,100.0,100.0
2021/02/06,0.00,100.0,100.0
2021/02/07,0.00,100.0,100.0
2021/02/08,5.30,100.0,100.0
2021/02/09,7.90,100.0,100.0
2021/02/10,3.20,100.0,100.0
2021/02/11,0.00,100.0,100.0
2021/02/12,0.00,100.0,100.0
2021/02/13,0.00,100.0,100.0
2021/02/14,0.00,100.0,100.0
2021/02/15,13.20,100.0,100.0
2021/02/16,8.30,100.0,100.0
2021/02/17,0.70,100.0,100.0
2021/02/18,0.10,100.0,100.0
2021/02/19,4.90,100.0,100.0
2021/02/20,4.80,100.0,100.0
2021/02/21,10.90,100.0,100.0
2021/02/22,0.10,100.0,100.0
2021/02/23,0.20,100.0,100.0
2021/02/24,0.30,100.0,100.0
2021/02/25,2.20,100.0,100.0
2021/02/26,2.60,100.0,100.0
2021/02/27,0.80,100.0,100.0
2021/02/28,0.50,100.0,100.0
2021/03/01,28.10,100.0,100.0
2021/03/02,5.30,100.0,100.0
2021/03/03,14.50,100.0,100.0
2021/03/04,6.80,100.0,100.0
2021/03/05,3.20,100.0,100.0
2021/03/06,0.20,100.0,100.0
2021/03/07,0.00,100.0,100.0
2021/03/08,2.40,100.0,100.0
2021/03/09,0.60,100.0,100.0
2021/03/10,25.70,100.0,100.0
2021/03/11,8.30,100.0,100.0
2021/03/12,8.40,100.0,100.0
2021/03/13,9.70,100.0,100.0
2021/03/14,9.70,100.0,100.0
2021/03/15,4.60,100.0,100.0
2021/03/16,9.30,100.0,100.0
2021/03/17,3.60,100.0,100.0
2021/03/18,12.90,100.0,100.0
2021/03/19,15.60,100.0,100.0
2021/03/20,0.20,100.0,100.0
2021/03/21,0.00,100.0,100.0
2021/03/22,0.20,100.0,100.0
2021/03/23,9.00,100.0,100.0
2021/03/24,13.40,100.0,100.0
2021/03/25,2.70,100.0,100.0
2021/03/26,0.00,100.0,100.0
2021/03/27,0.30,100.0,100.0
2021/03/28,2.20,100.0,100.0
2021/03/29,5.70,100.0,100.0
2021/03/30,2.40,100.0,100.0
2021/03/31,4.40,100.0,100.0
2021/04/01,0.60,100.0,100.0
2021/04/02,2.30,100.0,100.0
2021/04/03,5.30,100.0,100.0
2021/04/04,8.00,100.0,100.0
2021/04/05,0.00,100.0,100.0
2021/04/06,0.50,100.0,100.0
2021/04/07,5.30,100.0,100.0
2021/04/08,3.80,100.0,100.0
2021/04/09,,39.2,37.5
2021/04/10,,,
2021/04/11,,,
2021/04/12,,,
2021/04/13,,,
2021/04/14,,,
2021/04/15,,,
2021/04/16,,,
2021/04/17,,,
2021/04/18,,,
2021/04/19,,,
2021/04/20,,,
2021/04/21,,,
2021/04/22,,,
2021/04/23,,,
2021/04/24,,,
2021/04/25,,,
2021/04/26,,,
2021/04/27,,,
2021/04/28,,,
2021/04/29,,50.3,50.0
2021/04/30,28.90,100.0,100.0
2021/05/01,2.00,100.0,100.0
2021/05/02,13.90,100.0,100.0
2021/05/03,11.10,100.0,100.0
2021/05/04,3.20,100.0,100.0
2021/05/05,2.00,100.0,100.0
2021/05/06,8.40,100.0,100.0
2021/05/07,0.50,100.0,100.0
2021/05/08,2.80,100.0,100.0
2021/05/09,1.30,100.0,100.0
2021/05/10,4.70,100.0,100.0
2021/05/11,6.70,100.0,100.0
2021/05/12,2.90,100.0,100.0
2021/05/13,0.80,100.0,100.0
2021/05/14,5.30,100.0,100.0
2021/05/15,7.40,100.0,100.0
2021/05/16,3.80,100.0,100.0
2021/05/17,15.30,100.0,100.0
2021/05/18,4.70,100.0,100.0
2021/05/19,0.00,100.0,100.0
2021/05/20,0.00,100.0,100.0
2021/05/21,0.80,100.0,100.0
2021/05/22,2.50,100.0,100.0
2021/05/23,3.80,100.0,100.0
2021/05/24,9.40,100.0,100.0
2021/05/25,5.60,100.0,100.0
2021/05/26,0.80,100.0,100.0
2021/05/27,0.80,100.0,100.0
2021/05/28,0.00,100.0,100.0
2021/05/29,0.00,100.0,100.0
2021/05/30,5.20,100.0,100.0
2021/05/31,1.00,100.0,100.0
2021/06/01,0.00,100.0,100.0
2021/06/02,0.00,100.0,100.0
2021/06/03,0.10,100.0,100.0
2021/06/04,0.20,100.0,100.0
2021/06/05,0.00,100.0,100.0
2021/06/06,6.60,100.0,100.0
2021/06/07,4.10,100.0,100.0
2021/06/08,0.90,100.0,100.0
2021/06/09,0.00,100.0,100.0
2021/06/10,0.00,100.0,100.0
2021/06/11,1.60,100.0,100.0
2021/06/12,1.50,100.0,100.0
2021/06/13,19.10,100.0,100.0
2021/06/14,0.60,100.0,100.0
2021/06/15,9.20,100.0,100.0
2021/06/16,0.30,100.0,100.0
2021/06/17,0.10,100.0,100.0
2021/06/18,0.80,100.0,100.0
2021/06/19,21.90,100.0,100.0
2021/06/20,21.60,100.0,100.0
2021/06/21,8.20,100.0,100.0
2021/06/22,3.10,100.0,100.0
2021/06/23,3.60,100.0,100.0
2021/06/24,0.00,100.0,100.0
2021/06/25,1.50,100.0,100.0
2021/06/26,2.00,100.0,100.0
2021/06/27,1.70,100.0,100.0
2021/06/28,2.30,100.0,100.0
2021/06/29,0.20,100.0,100.0
2021/06/30,5.50,100.0,100.0
2021/07/01,0.20,100.0,100.0
2021/07/02,0.00,100.0,100.0
2021/07/03,0.00,100.0,100.0
2021/07/04,0.00,100.0,100.0
2021/07/05,0.00,100.0,100.0
2021/07/06,0.10,100.0,100.0
2021/07/07,0.20,100.0,100.0
2021/07/08,1.90,100.0,100.0
2021/07/09,3.50,100.0,100.0
2021/07/10,1.40,100.0,100.0
2021/07/11,0.30,100.0,100.0
2021/07/12,0.70,100.0,100.0
2021/07/13,0.50,100.0,100.0
2021/07/14,0.20,100.0,100.0
2021/07/15,,73.6,70.8
2021/07/16,4.10,100.0,100.0
2021/07/17,7.60,100.0,100.0
2021/07/18,22.20,100.0,100.0
2021/07/19,25.00,100.0,100.0
2021/07/20,4.70,100.0,100.0
2021/07/21,1.30,100.0,100.0
2021/07/22,10.20,100.0,100.0
2021/07/23,5.00,100.0,100.0
2021/07/24,0.80,100.0,100.0
2021/07/25,0.00,100.0,100.0
2021/07/26,1.00,100.0,100.0
2021/07/27,0.80,100.0,100.0
2021/07/28,0.20,100.0,100.0
2021/07/29,0.00,100.0,100.0
2021/07/30,0.10,100.0,100.0
2021/07/31,0.00,100.0,100.0
2021/08/01,0.50,100.0,100.0
2021/08/02,11.10,100.0,100.0
2021/08/03,3.50,100.0,100.0
2021/08/04,0.00,100.0,100.0
2021/08/05,0.00,100.0,100.0
2021/08/06,0.00,100.0,100.0
2021/08/07,0.00,100.0,100.0
2021/08/08,0.00,100.0,100.0
2021/08/09,0.00,100.0,100.0
2021/08/10,2.50,100.0,100.0
2021/08/11,4.10,100.0,100.0
2021/08/12,2.20,100.0,100.0
2021/08/13,3.00,100.0,100.0
2021/08/14,0.10,100.0,100.0
2021/08/15,0.00,100.0,100.0
2021/08/16,8.90,100.0,100.0
2021/08/17,2.50,100.0,100.0
2021/08/18,1.50,100.0,100.0
2021/08/19,2.30,100.0,100.0
2021/08/20,0.50,100.0,100.0
2021/08/21,0.10,100.0,100.0
2021/08/22,4.80,100.0,100.0
2021/08/23,0.50,100.0,100.0
2021/08/24,0.20,100.0,100.0
2021/08/25,0.20,100.0,100.0
2021/08/26,0.60,100.0,100.0
2021/08/27,0.90,100.0,100.0
2021/08/28,12.30,100.0,100.0
2021/08/29,4.20,100.0,100.0
2021/08/30,3.70,100.0,100.0
2021/08/31,3.50,100.0,100.0
2021/09/01,0.50,100.0,100.0
2021/09/02,10.50,100.0,100.0
2021/09/03,0.00,100.0,100.0
2021/09/04,1.60,100.0,100.0
2021/09/05,0.40,100.0,100.0
2021/09/06,50.50,100.0,100.0
2021/09/07,0.20,100.0,100.0
2021/09/08,3.50,100.0,100.0
2021/09/09,0.50,100.0,100.0
2021/09/10,0.10,100.0,100.0
2021/09/11,1.40,100.0,100.0
2021/09/12,8.70,100.0,100.0
2021/09/13,1.50,100.0,100.0
2021/09/14,0.90,100.0,100.0
2021/09/15,0.20,100.0,100.0
2021/09/16,2.60,89.2,83.3
2021/09/17,0.00,100.0,100.0
2021/09/18,0.30,100.0,100.0
2021/09/19,0.10,100.0,100.0
2021/09/20,0.70,100.0,100.0
2021/09/21,3.90,100.0,100.0
2021/09/22,4.80,100.0,100.0
2021/09/23,3.20,100.0,100.0
2021/09/24,1.30,100.0,100.0
2021/09/25,6.00,100.0,100.0
2021/09/26,0.00,100.0,100.0
2021/09/27,0.00,100.0,100.0
2021/09/28,5.60,100.0,100.0
2021/09/29,2.20,100.0,100.0
2021/09/30,1.60,100.0,100.0
2021/10/01,0.80,100.0,100.0
2021/10/02,0.00,100.0,100.0
2021/10/03,0.10,100.0,100.0
2021/10/04,0.80,100.0,100.0
2021/10/05,1.70,100.0,100.0
2021/10/06,1.50,100.0,100.0
2021/10/07,0.40,100.0,100.0
2021/10/08,0.00,100.0,100.0
2021/10/09,0.00,100.0,100.0
2021/10/10,13.40,100.0,100.0
2021/10/11,0.80,100.0,100.0
2021/10/12,1.20,100.0,100.0
2021/10/13,0.00,100.0,100.0
2021/10/14,0.30,100.0,100.0
2021/10/15,12.20,100.0,100.0
2021/10/16,1.30,100.0,100.0
2021/10/17,0.00,100.0,100.0
2021/10/18,0.00,100.0,100.0
2021/10/19,0.00,100.0,100.0
2021/10/20,2.90,100.0,100.0
2021/10/21,10.60,100.0,100.0
2021/10/22,2.50,100.0,100.0
2021/10/23,6.10,100.0,100.0
2021/10/24,0.10,100.0,100.0
2021/10/25,11.20,100.0,100.0
2021/10/26,4.20,100.0,100.0
2021/10/27,3.90,100.0,100.0
2021/10/28,2.90,100.0,100.0
2021/10/29,2.20,100.0,100.0
2021/10/30,1.70,100.0,100.0
2021/10/31,4.10,100.0,100.0
2021/11/01,7.40,100.0,100.0
2021/11/02,2.10,100.0,100.0
2021/11/03,0.60,100.0,100.0
2021/11/04,0.00,100.0,100.0
2021/11/05,0.00,100.0,100.0
2021/11/06,0.00,100.0,100.0
2021/11/07,0.00,100.0,100.0
2021/11/08,0.00,100.0,100.0
2021/11/09,1.80,100.0,100.0
2021/11/10,0.20,100.0,100.0
2021/11/11,0.00,100.0,100.0
2021/11/12,2.00,100.0,100.0
2021/11/13,4.90,100.0,100.0
2021/11/14,0.00,100.0,100.0
2021/11/15,0.00,100.0,100.0
2021/11/16,0.70,100.0,100.0
2021/11/17,0.00,100.0,100.0
2021/11/18,0.00,100.0,100.0
2021/11/19,5.70,100.0,100.0
2021/11/20,3.60,100.0,100.0
2021/11/21,0.30,100.0,100.0
2021/11/22,0.20,100.0,100.0
2021/11/23,0.20,100.0,100.0
2021/11/24,1.70,100.0,100.0
2021/11/25,8.70,100.0,100.0
2021/11/26,0.70,100.0,100.0
2021/11/27,0.00,100.0,100.0
2021/11/28,0.00,100.0,100.0
2021/11/29,9.80,99.7,100.0
2021/11/30,6.80,100.0,100.0
2021/12/01,0.40,100.0,100.0
2021/12/02,0.00,100.0,100.0
2021/12/03,0.00,100.0,100.0
2021/12/04,0.30,100.0,100.0
2021/12/05,1.50,100.0,100.0
2021/12/06,0.00,100.0,100.0
2021/12/07,0.00,100.0,100.0
2021/12/08,0.40,100.0,100.0
2021/12/09,0.00,100.0,100.0
2021/12/10,0.60,100.0,100.0
2021/12/11,6.40,100.0,100.0
2021/12/12,2.00,100.0,100.0
2021/12/13,4.50,100.0,100.0
2021/12/14,3.00,100.0,100.0
2021/12/15,0.60,100.0,100.0
2021/12/16,4.80,100.0,100.0
2021/12/17,7.20,100.0,100.0
2021/12/18,5.40,100.0,100.0
2021/12/19,2.60,100.0,100.0
2021/12/20,0.10,100.0,100.0
2021/12/21,0.00,100.0,100.0
2021/12/22,0.00,100.0,100.0
2021/12/23,0.10,100.0,100.0
2021/12/24,0.00,100.0,100.0
2021/12/25,0.10,100.0,100.0
2021/12/26,9.20,100.0,100.0
2021/12/27,0.70,100.0,100.0
2021/12/28,0.10,100.0,100.0
2021/12/29,0.00,100.0,100.0
2021/12/30,1.80,100.0,100.0
2021/12/31,0.00,100.0,100.0
2022/01/01,0.00,100.0,100.0
2022/01/02,0.10,100.0,100.0
2022/01/03,0.10,100.0,100.0
2022/01/04,0.10,100.0,100.0
2022/01/05,1.20,100.0,100.0
2022/01/06,0.00,100.0,100.0
2022/01/07,0.10,100.0,100.0
2022/01/08,0.10,100.0,100.0
2022/01/09,0.10,100.0,100.0
2022/01/10,0.00,100.0,100.0
2022/01/11,0.00,100.0,100.0
2022/01/12,0.00,100.0,100.0
2022/01/13,4.70,100.0,100.0
2022/01/14,0.50,100.0,100.0
2022/01/15,0.30,100.0,100.0
2022/01/16,0.00,100.0,100.0
2022/01/17,0.20,100.0,100.0
2022/01/18,0.00,100.0,100.0
2022/01/19,2.80,100.0,100.0
2022/01/20,2.00,100.0,100.0
2022/01/21,0.50,100.0,100.0
2022/01/22,0.10,100.0,100.0
2022/01/23,0.10,100.0,100.0
2022/01/24,0.70,100.0,100.0
2022/01/25,2.80,100.0,100.0
